titles,text,subject,date
How new fitness technology can improve life expectancy,BBC technology reporter Lara Lewington tests how new fitness technology can improve our life expectancy.,Innovation,2024-11-29
New dates for school science and technology event,STEMFest will take place at the end of March after it was postponed because of bus driver shortages.,Isle of Man,2024-11-30
RSC to help firms develop new uses for technology,The West Midlands and Merseyside will share a £13.5m government investment in the creative sector.,England,2024-11-27
Schools science and technology event rescheduled,The event which was due to run on 23 and 24 October was pushed back due to transport issues.,Isle of Man,2024-10-23
Face recognition used to identify riot suspects,"Privacy campaign group Big Brother Watch says the technology is ""dangerously unregulated"".",England,2024-11-23
An augmented reality journey into Earth's future,An immersive exhibit at the Natural History Museum allows visitors to experience how the world will look in 2125.,Innovation,2024-12-04
US regulator says AI scanner 'deceived' users after BBC story,"In a proposed settlement, Evolv Technology will be banned from making certain claims about its products.",Technology,2024-11-27
Shop staff get bodycams due to 'daily abuse',"The supermarket chain has brought in the technology after a ""steady increase"" in confrontations.",Lincolnshire,2024-11-26
Five of the world's most innovative countries,The BBC speaks to residents and travellers in some of the top-ranked countries on the 2024 Global Innovation Index to find out how cutting-edge technology benefits day-to-day life.,Travel,2024-12-05
How new fitness technology can improve life expectancy,BBC technology reporter Lara Lewington tests how new fitness technology can improve our life expectancy.,Innovation,2024-11-29
New dates for school science and technology event,STEMFest will take place at the end of March after it was postponed because of bus driver shortages.,Isle of Man,2024-11-30
RSC to help firms develop new uses for technology,The West Midlands and Merseyside will share a £13.5m government investment in the creative sector.,England,2024-11-27
Schools science and technology event rescheduled,The event which was due to run on 23 and 24 October was pushed back due to transport issues.,Isle of Man,2024-10-23
Face recognition used to identify riot suspects,"Privacy campaign group Big Brother Watch says the technology is ""dangerously unregulated"".",England,2024-11-23
An augmented reality journey into Earth's future,An immersive exhibit at the Natural History Museum allows visitors to experience how the world will look in 2125.,Innovation,2024-12-04
US regulator says AI scanner 'deceived' users after BBC story,"In a proposed settlement, Evolv Technology will be banned from making certain claims about its products.",Technology,2024-11-27
Shop staff get bodycams due to 'daily abuse',"The supermarket chain has brought in the technology after a ""steady increase"" in confrontations.",Lincolnshire,2024-11-26
Five of the world's most innovative countries,The BBC speaks to residents and travellers in some of the top-ranked countries on the 2024 Global Innovation Index to find out how cutting-edge technology benefits day-to-day life.,Travel,2024-12-05
Drilling the deepest holes on Earth,Reaching the geothermal energy far beneath our feet will require digging further into the Earth's crust than ever before.,Future,2024-12-02
Animal robots give Gravesend a taste of the future,The Kent town hosted a one-day technology and ideas event across 18 venues.,Kent,2024-11-20
Vodafone boss says prices won't rise after Three 'mega-merger',"The deal, which creates the UK's biggest mobile network, has had to overcome competition concerns.",Technology,2024-12-05
Firms given multi-million pound heat pump funding,Ideal Heating and Gledhill will share £5.2m to increase production of heat pump technology.,England,2024-11-21
Pioneering wireless pacemaker 'a game changer',Doctors in Southampton say a new wireless pacemaker will transform the care of heart patients.,Hampshire & Isle of Wight,2024-12-04
'It's so easy to lie': A fifth of children use fake age on social media,"The regulator finds a fifth of children are pretending to be adults, potentially exposing them to harm.",Technology,2024-11-28
Microsoft faces £1bn class action case in UK over software prices,"It is alleged the tech giant overcharged companies for its Window Server software, used in cloud computing.",Technology,2024-12-03
Canada watchdog sues Google over alleged anti-competitive conduct,"The suit is the latest regulatory headache for Google, which is facing similar action in the US.",US & Canada,2024-11-28
Robot could sniff out profits for farmers,A gamma ray detector is being used to make faster and better soil quality assessments.,England,2024-11-26
"People not AI will make games, PlayStation boss says",The gaming giant's joint CEOs reflect on its past and future as it celebrates its 30th anniversary.,Technology,2024-12-03
GCHQ chief opens £5.8m cyber and digital centre,"Anne Keast-Butler says the new centre can ""nurture the talent"" coming through the education system.",Gloucestershire,2024-12-06
Incinerator future in doubt as investors pull out,"The incinerator is controversial, with a campaign group saying it hopes this ends the saga.",Wales,2024-11-29
Primary school pupils referred to online crime unit,Police are now teaching children as young as nine about the dangers of hacking and online fraud.,Nottingham,2024-11-26
LinkedIn: We're too boring for kids for social media ban,It is one of a number of tech firms pushing back against Australia's plan to ban social media for under-16s.,Technology,2024-11-26
Funding boost for national child health centre,Sheffield's planned National Centre for Child Health Technology is to receive an extra £8.8m.,South Yorkshire,2024-11-18
Newry tech firm to pay £120m to shareholders,FD Technologies has sold a significant part of the business.,Northern Ireland,2024-11-26
Transport bosses 'committed' to iPhone ticket plan,"Nexus says Apple is set to roll-out the technology, long available to Android users, to UK devices.",England,2024-11-23
Mark Zuckerberg dines with Donald Trump at Mar-a-Lago,Relations appear to have improved markedly from Trump's threat earlier this year to throw the Meta boss in jail.,Technology,2024-11-28
Port of Dover was ready for new border checks - chief,"The port is now in an uncertain situation waiting for a new confirmed timeline, he said.",Kent,2024-11-29
Dementia device seeks 100 people for further trials,A start-up firm says its small box can help sufferers retain independence and ease relatives' minds.,England,2024-11-28
Online star Hawk Tuah girl faces crypto coin criticism,"Haliey Welch's ""Hawk"" digital coin shot up in price then lost 95% of its value just hours after it launched.",Technology,2024-12-06
Conservationists turn to AI in battle to save red squirrels,The tech is being used to automatically control the creatures' access to feeders at sites across the UK.,Technology,2024-11-23
Why is vintage audio equipment booming?,"Music lovers are buying up old cassette, CD and record players and getting them fixed.",Technology,2024-12-02
What next for Bitcoin after bursting $100k barrier?,The rapid increase in price has been attributed to Donald Trump's election victory - can it continue?,Technology,2024-12-05
Hospital in world-first cancer tool trial,The scanner allows surgeons to check patients while they are still on the operating table.,Coventry & Warwickshire,2024-11-29
Is there something special about the human voice?,Artificial intelligence-powered speech synthesisers can now hold eerily realistic spoken conversations and clone the voices of others. Can we tell them apart from the human voice?,Future,2024-11-25
Why are doctors wary of wearables?,"Wearable tech claims to help monitor our health, but many doctors remain sceptical.",Business,2024-12-01
Conservationists turn to AI in battle to save red squirrels,The tech is being used to automatically control the creatures' access to feeders at sites across the UK.,Technology,2024-11-23
Why is vintage audio equipment booming?,"Music lovers are buying up old cassette, CD and record players and getting them fixed.",Technology,2024-12-02
Is AI any good at choosing gifts?,"With vast amounts of data do draw on, AI should be able to come up with good gift ideas, but does it?",Technology,2024-12-06
Social media ban for under-16s 'on the table' in UK,"The tech secretary Peter Kyle also said he wanted an ""assertive"" approach from the regulator, Ofcom.",Gloucestershire,2024-11-20
Charity hopes to remove rural 'digital poverty',"Gloucestershire Rural Community Council works with Age UK, social services and local libraries.",Technology,2024-12-05
Top-selling mobile games break rules on loot boxes,Ads for games are meant to say if they contain loot boxes - BBC News has found most do not.,Wear,2024-11-28
The superpowers of coatings make possible the impossible,"Hi-tech coatings make all sorts of high performance engineering, like jet engines, possible.",London,2024-11-22
AI spurs 'revolution' for some visually impaired people,AI services that can describe pictures and scenes are helping the visually impaired.,Liverpool,2024-11-26
"Mum faces £1,000 bill to keep daughter walking","Supplier Made for Movement says it is ""unfortunate"" the NHS does not pay for the equipment.",Technology,2024-11-29
London's new tram-like buses come into service,The vehicles use pantograph technology and have a structure attached to the bus roof to recharge them.,London,2024-11-20
Black Myth: Wukong crowned Ultimate Game of the Year at Golden Joystick Awards,FF VII Rebirth and Helldivers 2 have scooped up the most awards at the public-voted gaming events.,Technology,2024-12-06
How Liverpool are getting local kids into 'STEM' subjects,Match of the Day's Rubi Deschamps visits an LFC Foundation event aimed at giving opportunities to local schoolchildren in STEM subjects.,Climate,2024-11-20
'God's influencer' to be made first millennial saint in April,"London-born Carlo Acutis, who died of leukaemia aged 15, will be canonised by the Catholic church in 2025.",Cornwall,2024-11-27
New tram-like bus involved in crash on launch day,The Go-Ahead London bus reportedly collided with a car belonging to the wife of a Labour councillor.,Australia,2024-11-21
Bluesky chief doesn't know age limit for platform,"Jay Graber wrongly said you needed to be 18 to use Bluesky, when the actual age limit is 13.",Technology,2024-11-21
Is nuclear power gaining new energy?,Countries around the world are building new nuclear power stations.,London,2024-11-18
Virtual reality reveals knife crime true reality,Immersive films give young people an insight into what the aftermath of a stabbing is really like.,Innovation,2024-12-02
Silent nurse call cutting hospital stays - trust,New mothers are getting more rest thanks to silent call bells on a maternity ward.,US & Canada,2024-11-21
Australia wants to ban kids from social media. Will it work?,The government has just tabled laws to block access to under-16s - but the proposal is divisive.,Jersey,2024-11-19
Instagram testing tool that resets all recommended posts,Its reset feature would cleanse a user's feed of personalised content suggested by algorithm.,World,2024-11-25
More bus stops to get CCTV so women feel safer,"It is part of a plan to improve women's and girls' safety in the capital, Transport for London says.",UK,2024-11-22
How an Arctic archipelago is moving towards clean energy,"Svalbard, a warming Arctic archipelego, begins a shift from coal to clean energy solutions.",Innovation,2024-11-28
US man awarded $1m after 27 years wrongfully jailed,"Michael Sullivan lost his mother and four siblings while behind bars and says the money will ""never make up the years"" he lost.",Technology,2024-12-01
Port offers internship with hydrogen firm,Ports of Jersey says the intern will learn how hydrogen could be used in the marine sector.,England,2024-11-28
Could a thermal camera reveal your home's hidden heat loss?,Thermal imaging tech has become cheaper and homeowners are using it to track down heat loss.,London,2024-11-28
Stowaway caught on flight from New York to Paris,The woman allegedly hopped from one lavatory to another during the seven hour journey.,Australia,2024-11-17
Lord Blunkett injured in Tube platform gap fall,"The Labour Peer, who is blind is urging Transport for London to do more for visually impaired people.",Hampshire & Isle of Wight,2024-11-22
How an Arctic archipelago is moving towards clean energy,"Svalbard, a warming Arctic archipelego, begins a shift from coal to clean energy solutions.",US & Canada,2024-11-21
"Sell Chrome to end search monopoly, Google told","The tech giant is resisting fiercely, calling the proposal ""wildly overbroad"" and claiming it will hurt consumers.",Cumbria,2024-11-19
Google reacts angrily to report it will have to sell Chrome,It's reported the US government wants the world's most popular web browser to be sold off to address monopoly concerns.,Wales,2024-12-02
New £2.45m lifeboat welcomed with water salute,The new all weather lifeboat will come into service in Hartlepool in early 2025.,Asia,2024-12-06
London's Gen Alpha views both 'uplifting and sad',"London’s Generation Alpha is made up of young people acutely aware of both local and national issues, a poll finds.",Wolverhampton,2024-11-28
Australia approves social media ban on under-16s,"The ban aims to reduce ""harms"" on children and will take at least a year to implement, the PM says.",Future,2024-12-06
Thames' first all-electric ferry built on island,"Orbit Clipper is being built on the Isle of Wight, and will go into operation in March next year.",Technology,2024-11-17
‘Do not pet’: Why are robot dogs patrolling Mar-A-Lago?,Robotic dogs are helping law enforcement protect President-elect Donald Trump at his Florida residence.,"NE, Orkney & Shetland",2024-12-01
Snoop Dogg helps Kai Cenat reclaim Twitch subscriber record,The American has been streaming continuously for 30 days to try reclaim the record he set last year.,Birmingham & Black Country,2024-11-27
Nuclear body opens cyber security hub,"It hopes the hub, at Moor Row near Sellafield, will help defend it against ""evolving threats"".",Technology,2024-11-27
£51m investment in semiconductor plant,US giant Vishay's investment follows its £142m purchase of former Newport Wafer Fab plant last year.,Technology,2024-11-19
Chocolate makers stoke boom for Indian cocoa beans,"India produces only a tiny fraction of the world's cocoa beans, but that could be changing.",Business,2024-11-22
City school reveals major refurbishment plans,"Work includes a two-storey extension to the main building, a new sports hall and 104 space car park.",England,2024-11-18
How robotaxis are trying to win passengers' trust,"Autonomous vehicles are already clocking up millions of miles on public roads, but they face an uphill battle to convince people to climb in to enjoy the ride.",England,2024-11-18
Roblox to ban young children from messaging others,"Parents will also be able to view and manage their child's account, including limiting their screen time.",Devon,2024-11-27
Fish market 'shout auction' to be replaced,The Peterhead market has until now stuck with the old method of buyers calling out their bids.,Berkshire,2024-12-02
Man overcome by new accent ahead of wedding,"A young man with cerebral palsy is gifted a new West Midlands accent, ahead of his wedding.",UK,2024-11-15
Elon Musk adds Microsoft to lawsuit against ChatGPT-maker OpenAI,"Mr Musk, a co-founder of the company, is accusing it and the tech giant of operating a monopoly.",Gloucestershire,2024-11-14
Meta fined €798m over 'unfair' Facebook Marketplace,"The European Union says the tech giant crowded out rivals, breaching competition law.",Berkshire,2024-11-20
"No plans to join Bluesky yet, Starmer says",The social media platform has been rapidly growing in popularity since the US presidential election.,Derby,2024-11-13
VW launches $5.8bn tie-up with Tesla rival Rivian,The firms will share EV technology as they face slowing sales growth and competition from Chinese rivals.,Business,2024-11-30
"Charity boss proud of helping 45,000 young people","Emma Egging is leaving the trust she set up after the death of her husband, a Red Arrows pilot.",Oxford,2024-12-04
Satellite text helps rescuers save stricken walker,A mountain rescue team says an injured rambler called 999 but could not get a phone signal.,Wales,2024-11-19
"Life getting easier over diabetes, father says",Mehdi Taheri will be running 50km for 12 days in a bid to raise funds for a diabetes charity.,UK,2024-11-18
'Mobile phones take away children's childhoods',Olly Stephens was ambushed and fatally stabbed in 2021 in Reading over a dispute on social media.,Future,2024-11-28
'Trusting' islanders at 'greater risk of fraud',"Fraudsters and scammers target people through the internet and phones, crime prevention staff say.",England,2024-11-18
Alternative education building gets £1m investment,The council spends £1.3m refurbishing the centre for children who struggle in mainstream school.,N/A,2024-11-18
'Mobile phones take away children's childhoods',Olly Stephens was ambushed and fatally stabbed in 2021 in Reading over a dispute on social media.,N/A,2024-11-26
Residents must register to use county tips,Waste bosses say the changes will make things fairer for county residents and save money.,N/A,2024-11-13
VW launches $5.8bn tie-up with Tesla rival Rivian,The firms will share EV technology as they face slowing sales growth and competition from Chinese rivals.,N/A,2024-12-05
What is the new battery that never dies?,"The UK Atomic Energy Authority is calling it a ""safe, sustainable way"" to provide continuous power.",N/A,2024-11-29
Should Wales copy Australia's new social media law?,The BBC's Terel Edmunds speaks to people in Cardiff about Australia's social media ban for under-16s.,N/A,2024-11-20
"£500m defence cuts as ships, drones and helicopters scrapped","Critics said the move would leave UK defence weaker, at a time of growing international tensions and after over a decade of funding pressures on the armed forces.",N/A,2024-11-15
Why China is building a 'bullet train for power',China produces more clean energy than any other country. Now it's rolling out an ultra-high-voltage grid to match – will its strategy of going big pay off?,N/A,2024-11-13
Cells aim to 'nudge' offenders away from crime,"Wall art and technology inside custody cells is not a ""soft approach on crime"", say police.",N/A,2024-11-12
States trial to help visually impaired islanders,The technology allows people to scan a code and get information on navigating buildings.,N/A,2024-06-21
